user,item,rating
5,5,3
247,3,1
169,1,1
497,4,3
375,6,3
435,4,1
142,5,1
190,3,3
227,2,3
394,2,3
441,2,4
422,1,2
280,5,2
232,3,3
230,4,1
26,7,2
496,7,3
324,3,4
247,7,4
441,1,1
361,5,2
456,5,3
86,3,3
367,1,1
367,3,3
28,1,4
482,3,1
317,6,4
121,2,4
120,3,1
279,7,4
437,5,3
358,4,1
338,2,4
251,2,3
35,7,4
18,1,4
337,3,1
340,2,2
135,6,2
159,6,3
418,3,1
111,5,2
351,7,3
134,2,4
124,2,1
178,4,4
359,7,4
289,2,3
198,2,4
71,6,2
22,3,2
436,1,4
330,2,3
54,2,2
293,7,5
223,7,4
36,6,2
471,5,2
29,3,1
66,5,3
273,5,5
37,6,4
246,6,1
452,7,3
460,4,4
471,2,4
469,7,2
423,3,1
272,4,1
430,1,3
162,3,2
212,7,2
248,4,3
155,3,3
424,6,4
19,4,4
304,7,4
357,6,3
54,4,3
251,6,2
376,4,4
34,6,3
381,6,3
455,4,4
50,1,2
401,7,3
335,1,2
473,1,3
307,7,4
158,6,4
493,1,2
156,6,3
473,6,3
237,1,4
273,7,3
109,1,4
17,3,3
449,4,1
455,6,4
238,2,2
254,2,4
116,1,3
158,3,1
428,5,4
169,4,4
390,6,3
115,5,1
381,7,2
306,2,4
432,4,2
371,1,3
92,6,4
429,4,1
388,5,3
165,6,2
142,1,3
24,4,1
41,6,4
464,5,3
497,3,3
208,3,3
183,2,2
104,3,3
28,4,1
1,3,2
270,2,3
67,5,2
455,2,2
211,1,3
86,5,4
56,6,1
176,7,2
204,5,3
150,1,5
275,7,2
202,6,3
53,7,3
11,6,3
292,6,2
406,6,4
205,6,4
261,1,3
31,2,3
307,6,2
438,1,2
465,3,2
365,3,3
297,3,1
247,6,3
378,3,3
91,7,3
177,7,4
318,7,2
26,1,2
326,1,4
52,3,3
385,2,2
202,4,1
99,7,1
476,2,3
346,3,2
277,4,2
33,5,4
340,1,1
22,6,1
381,1,3
174,4,1
95,1,1
480,7,4
243,7,1
369,3,3
317,5,1
11,1,4
138,6,3
318,1,2
460,3,4
134,7,4
80,5,1
151,2,2
154,1,1
143,5,1
378,5,4
168,1,3
482,6,2
172,5,3
149,7,1
327,3,3
167,7,1
362,6,3
390,3,5
10,6,3
490,6,3
444,6,1
77,1,3
298,2,3
373,1,2
420,1,4
412,7,1
280,4,3
107,3,2
153,3,3
397,7,1
363,1,1
326,4,2
52,5,3
9,6,3
453,3,4
267,5,2
229,3,4
109,5,4
107,7,2
254,6,3
495,1,1
27,7,3
15,2,3
130,4,2
10,7,3
441,6,2
417,5,4
186,4,4
171,2,4
288,6,4
363,5,1
180,4,4
253,4,4
484,3,5
108,4,3
214,7,4
401,2,2
256,5,2
427,6,4
434,4,1
469,4,4
174,6,3
442,6,4
394,7,2
411,4,4
365,5,1
362,3,4
146,5,5
264,2,4
325,4,3
101,1,1
263,7,3
44,3,4
343,5,3
237,7,1
345,1,3
426,4,4
447,6,2
354,6,3
142,7,1
442,2,1
229,1,1
122,3,4
18,4,1
228,5,2
29,2,1
290,5,3
470,7,4
136,3,2
440,7,3
314,4,4
322,2,4
449,6,1
94,3,2
343,6,1
478,5,4
361,1,4
451,5,3
438,6,2
408,1,4
202,7,1
9,3,1
326,5,2
302,1,4
390,2,1
104,7,3
414,2,1
8,5,2
406,1,1
200,5,5
32,2,4
255,2,4
390,4,1
29,6,3
429,5,2
211,6,2
451,6,3
401,4,1
44,1,3
469,2,4
380,5,3
120,6,3
56,1,4
336,6,4
51,3,1
357,5,4
273,6,4
85,1,4
50,7,3
284,4,4
29,7,1
335,6,4
149,4,4
443,2,3
265,5,1
169,3,2
158,5,2
354,2,2
48,3,4
37,2,4
60,2,5
403,6,4
8,2,3
372,6,3
27,5,3
16,4,2
253,1,1
14,4,1
109,4,2
153,1,3
245,3,5
218,7,1
100,4,4
134,3,1
248,6,3
100,2,4
324,6,4
35,1,5
153,6,4
78,4,3
294,1,3
259,3,1
250,7,3
4,3,4
33,7,3
436,6,1
45,4,1
215,6,3
376,5,3
26,4,3
83,4,1
448,1,4
255,5,1
136,5,2
471,4,4
419,7,2
192,4,2
180,7,1
499,6,1
260,1,1
67,3,4
309,4,4
221,1,4
65,7,4
307,1,2
409,2,4
23,6,4
104,6,2
168,3,1
224,1,1
83,6,2
239,7,3
207,1,2
392,7,1
43,6,5
329,7,1
90,5,2
325,2,1
446,2,1
240,4,1
491,4,2
443,6,4
414,5,4
130,2,2
274,2,4
193,4,3
4,6,3
6,7,4
433,6,3
371,7,4
422,3,2
365,6,3
288,4,1
422,5,3
70,6,3
219,5,3
7,3,4
351,5,2
419,2,2
426,1,4
385,7,5
56,7,3
199,1,4
464,1,4
436,5,3
323,4,1
334,4,1
355,5,5
72,6,4
384,5,2
272,3,3
393,4,3
304,3,4
95,7,2
212,6,4
78,3,3
434,7,1
17,2,3
394,6,1
217,3,1
339,6,1
337,4,1
117,6,1
108,6,2
147,6,4
321,7,4
335,5,3
160,5,4
22,5,1
170,5,4
162,2,2
280,7,3
340,4,3
449,1,3
139,1,4
328,7,2
105,2,2
3,3,4
101,4,4
140,7,3
33,6,3
65,1,3
459,5,3
496,2,2
290,2,4
124,6,1
115,1,4
155,1,1
103,7,1
435,5,4
253,6,2
132,2,1
368,5,4
393,1,3
382,3,3
268,5,3
78,1,1
229,4,1
8,7,3
38,3,4
78,6,1
92,5,3
428,1,5
54,1,1
336,2,4
299,4,4
127,2,2
136,1,1
181,5,4
24,3,1
409,6,2
94,5,1
382,7,1
481,2,3
125,1,3
1,2,1
210,5,1
322,4,4
88,7,1
6,4,1
186,6,4
327,4,1
88,5,1
281,3,2
265,4,4
254,3,3
488,5,4
397,2,4
286,7,3
227,7,2
386,5,3
258,4,4
442,5,2
488,3,1
293,1,3
285,2,1
71,4,4
40,1,4
439,1,1
384,2,3
347,1,4
162,6,4
500,6,4
53,1,4
127,3,2
440,6,3
96,1,4
269,6,4
458,1,3
267,2,4
12,5,2
429,2,2
334,6,4
171,6,4
424,3,1
332,5,2
348,7,1
403,5,4
20,3,4
387,4,4
15,1,1
187,7,2
421,6,1
316,7,1
198,4,3
27,3,2
17,6,4
151,6,2
223,2,3
454,3,2
318,3,4
232,6,4
231,2,4
30,5,4
80,6,1
89,3,3
190,7,4
468,2,2
186,5,4
74,3,2
87,2,3
380,6,1
359,1,2
295,2,1
399,1,1
479,7,5
340,5,1
378,6,4
235,1,2
282,5,1
207,7,3
126,5,1
449,2,4
459,4,3
195,4,2
79,1,2
255,7,2
333,6,4
466,5,1
194,4,3
254,5,1
164,1,3
434,5,5
85,4,3
265,1,4
53,2,1
249,2,2
198,1,4
92,2,4
16,7,2
270,6,2
351,1,1
205,1,4
71,7,2
412,3,3
373,2,2
242,4,2
243,1,4
278,1,2
310,6,1
81,1,1
145,5,1
357,1,4
281,2,1
494,1,4
78,2,2
342,5,2
422,6,3
144,6,2
51,4,1
411,6,2
420,3,2
36,3,1
416,3,1
299,6,1
188,1,1
103,6,3
297,6,1
238,5,4
286,4,5
123,4,2
41,1,2
409,4,1
29,5,3
235,2,1
282,6,1
204,4,3
4,7,1
57,7,4
425,4,3
275,6,1
475,4,3
339,7,1
138,2,3
418,7,2
26,6,2
419,1,1
105,6,2
410,3,1
116,4,1
236,3,2
52,4,4
116,3,2
328,3,4
439,5,2
149,6,4
332,2,1
343,4,4
335,4,1
457,3,3
214,3,1
94,2,3
479,4,3
163,2,4
492,6,1
141,4,2
203,2,4
476,6,4
245,6,1
2,3,1
398,3,4
333,5,1
7,6,4
21,1,2
177,4,3
305,6,2
157,3,1
68,3,1
207,3,3
157,1,4
400,5,2
288,5,4
167,5,4
312,6,3
2,5,1
446,4,4
175,5,3
372,5,3
102,4,3
199,5,3
410,1,3
125,6,4
8,6,3
78,7,2
240,1,1
168,6,5
356,4,1
290,4,2
321,2,4
279,1,1
199,2,2
308,2,1
352,5,4
435,6,2
405,1,1
209,6,4
348,3,2
159,2,1
176,1,3
240,7,3
169,6,3
288,7,4
230,1,3
217,6,1
119,7,1
41,2,4
417,2,3
369,5,4
133,7,2
92,1,1
154,5,4
379,3,3
446,1,1
415,7,3
80,1,4
441,4,2
408,6,2
298,3,2
358,5,2
252,2,1
97,2,2
360,6,2
97,5,1
393,5,3
115,4,3
263,1,4
156,1,2
488,7,3
403,2,3
489,4,2
295,1,3
62,6,1
444,1,3
193,5,2
92,4,4
114,6,1
11,7,3
173,6,1
66,2,1
31,7,3
217,7,2
463,4,1
188,4,4
313,5,2
195,2,2
365,4,1
407,6,3
220,1,1
206,5,1
421,4,2
168,2,3
22,1,4
104,4,4
181,2,2
273,1,3
66,6,3
70,3,4
417,3,1
30,4,4
391,3,1
126,2,2
145,7,1
445,4,3
312,7,3
284,5,2
409,3,1
153,7,2
185,4,1
171,3,4
147,5,3
53,6,3
119,5,2
385,4,2
21,2,2
349,3,1
485,1,4
25,1,4
206,2,1
124,7,1
94,7,2
120,1,1
184,7,2
61,7,1
249,5,1
450,7,4
227,5,3
365,2,1
183,4,4
451,4,3
453,4,4
172,2,4
446,3,3
237,6,4
122,1,4
203,5,4
176,6,2
75,2,3
187,2,3
312,4,1
158,4,3
384,6,4
245,4,3
458,7,4
463,1,5
219,2,4
337,5,3
262,7,4
415,1,4
310,5,3
209,7,3
457,7,3
457,2,4
345,5,2
278,2,4
363,2,3
454,1,4
160,1,1
208,5,3
480,4,2
342,7,1
471,3,2
476,1,1
32,4,1
325,6,1
265,3,4
256,4,1
128,3,3
167,6,1
395,7,3
319,5,3
54,5,3
220,3,3
45,3,2
263,4,4
136,7,4
147,3,3
114,2,2
233,1,3
194,6,3
86,6,3
357,4,2
178,3,4
108,2,2
478,2,2
214,6,1
444,3,2
309,3,1
63,5,4
59,7,4
325,5,4
362,4,5
107,1,2
385,3,4
201,4,1
189,4,2
284,2,2
68,5,4
105,3,1
403,7,1
131,2,4
122,6,5
258,2,4
133,5,1
43,4,4
49,2,4
129,5,1
82,1,2
315,4,1
116,6,4
295,6,3
453,2,4
475,3,1
410,5,2
331,6,1
387,5,4
100,6,2
420,7,2
160,3,2
112,4,2
99,2,2
341,4,4
174,5,3
223,6,1
360,2,1
368,3,1
150,5,3
402,5,1
226,6,2
209,4,5
244,3,4
344,6,3
173,4,2
104,1,2
161,4,5
228,4,2
105,4,1
463,2,2
342,2,4
279,2,4
300,2,2
338,1,4
477,4,1
255,1,1
497,1,3
287,3,4
140,6,2
467,4,1
391,1,3
101,6,2
426,6,1
487,1,1
64,7,3
191,3,4
453,1,4
58,7,4
388,3,4
399,5,4
350,3,1
152,5,4
154,7,1
103,1,2
147,4,2
196,5,4
405,4,4
45,7,1
314,5,2
143,3,2
432,2,3
67,6,4
232,1,3
88,2,2
109,7,1
311,3,2
397,3,1
172,4,5
44,6,2
466,1,2
388,1,2
44,7,4
5,3,1
89,2,1
244,6,4
67,2,1
491,7,4
456,2,1
87,5,2
383,2,2
358,2,3
240,5,4
458,6,4
9,7,1
203,7,3
263,5,1
108,1,3
140,5,1
7,4,3
296,4,3
423,1,4
484,2,1
373,4,1
201,3,4
465,5,1
212,2,2
38,1,3
81,3,3
289,1,2
258,3,1
429,6,2
96,7,1
408,2,3
107,4,2
170,6,2
92,3,2
360,3,3
467,2,2
89,5,1
437,1,2
170,1,2
401,1,4
145,1,1
305,2,3
142,2,1
150,2,4
227,3,3
231,6,4
