user,item,rating
21,7,1
482,5,2
395,1,2
484,5,4
206,6,1
292,7,1
63,7,4
227,1,3
367,7,1
340,6,4
214,1,2
500,7,2
74,1,2
37,4,2
352,2,2
208,4,5
179,2,4
458,5,2
361,6,4
431,3,4
51,5,3
305,3,4
331,7,1
57,1,2
389,7,3
263,3,2
464,2,4
62,2,4
84,4,1
103,2,1
148,5,5
401,5,3
420,5,1
143,2,1
10,1,4
223,1,2
439,3,1
444,5,4
91,3,4
83,2,4
131,6,4
417,7,2
312,5,3
42,4,1
165,1,2
135,4,2
256,2,1
269,5,3
53,5,3
73,5,2
121,5,3
275,2,3
483,1,1
322,6,3
175,7,2
192,1,4
243,6,1
500,5,4
18,2,3
32,1,4
398,6,4
459,2,4
15,5,4
51,6,1
85,7,2
220,6,4
166,1,4
399,3,1
70,2,1
405,3,1
420,6,4
164,2,3
160,4,4
396,1,2
46,6,1
281,6,4
361,4,3
296,5,2
155,7,3
110,2,3
451,3,4
16,2,4
266,3,1
110,5,2
424,4,3
287,4,4
152,3,2
144,3,2
153,4,2
343,3,3
315,5,2
309,2,2
87,3,2
304,2,2
345,2,4
321,1,4
289,4,2
461,2,4
292,3,2
177,1,1
344,4,3
226,3,1
294,5,3
175,3,1
398,5,2
348,4,3
211,7,2
6,2,3
381,3,4
470,5,1
493,3,3
64,1,1
118,7,4
182,7,2
327,5,3
188,7,2
479,3,4
404,6,3
26,2,2
122,4,2
35,3,5
410,6,3
486,5,2
282,7,2
30,2,1
55,5,1
257,2,3
428,6,4
197,1,2
345,7,1
342,1,1
148,1,1
138,3,1
121,1,1
480,1,2
489,2,3
291,3,3
474,2,3
149,3,1
317,3,3
8,3,2
253,2,3
81,4,1
468,5,1
285,1,1
419,4,3
257,5,2
312,3,4
366,5,3
48,6,2
272,2,2
461,7,2
291,6,1
124,1,1
117,1,3
100,5,3
11,3,3
110,4,2
424,2,3
383,6,3
405,7,4
261,4,4
471,6,1
200,3,1
122,5,1
278,6,1
328,4,1
282,2,2
379,7,4
60,7,1
124,3,2
367,5,2
499,7,3
9,2,1
455,7,3
7,7,3
484,4,1
462,5,2
341,3,2
221,5,1
452,5,2
97,4,3
114,7,3
39,3,2
331,1,3
127,7,4
222,4,1
297,4,1
80,3,1
454,5,2
25,5,3
149,5,1
268,7,1
41,4,4
118,6,2
447,2,3
56,3,3
